checking_balance,months_loan_duration,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job
> 200 DM,24,business,1275,> 1000 DM,1 - 4 yrs,2,divorced male,none,4,real estate,36,none,own,2,1,1,yes,yes,skilled employee
1 - 200 DM,24,radio/tv,6403,< 100 DM,0 - 1 yrs,1,single male,none,2,other,33,none,own,1,1,1,none,yes,skilled employee
< 0 DM,24,radio/tv,1987,< 100 DM,1 - 4 yrs,2,single male,none,4,real estate,21,none,rent,1,2,2,none,yes,unskilled resident
1 - 200 DM,8,radio/tv,760,< 100 DM,4 - 7 yrs,4,female,guarantor,2,real estate,44,none,own,1,1,1,none,yes,unskilled resident
unknown,24,car (used),2603,> 1000 DM,1 - 4 yrs,2,female,none,4,other,28,none,rent,1,1,1,yes,yes,skilled employee
unknown,4,car (new),3380,< 100 DM,4 - 7 yrs,1,female,none,1,real estate,37,none,own,1,1,2,none,yes,skilled employee
1 - 200 DM,36,domestic appliances,3990,unknown,0 - 1 yrs,3,female,none,2,unknown/none,29,bank,own,1,1,1,none,yes,unemployed non-resident
1 - 200 DM,24,car (used),11560,< 100 DM,1 - 4 yrs,1,female,none,4,other,23,none,rent,2,2,1,none,yes,mangement self-employed
< 0 DM,18,car (new),4380,101 - 500 DM,1 - 4 yrs,3,single male,none,4,other,35,none,own,1,1,2,yes,yes,unskilled resident
unknown,6,car (new),6761,< 100 DM,4 - 7 yrs,1,single male,none,3,unknown/none,45,none,own,2,1,2,yes,yes,mangement self-employed
1 - 200 DM,30,business,4280,101 - 500 DM,1 - 4 yrs,4,female,none,4,other,26,none,rent,2,2,1,none,yes,unskilled resident
< 0 DM,24,car (new),2325,101 - 500 DM,4 - 7 yrs,2,single male,none,3,other,32,bank,own,1,1,1,none,yes,skilled employee
1 - 200 DM,10,radio/tv,1048,< 100 DM,1 - 4 yrs,4,single male,none,4,real estate,23,stores,own,1,1,1,none,yes,unskilled resident
unknown,21,radio/tv,3160,unknown,> 7 yrs,4,single male,none,3,building society savings,41,none,own,1,1,1,yes,yes,skilled employee
< 0 DM,24,furniture,2483,501 - 1000 DM,1 - 4 yrs,4,single male,none,4,real estate,22,stores,own,1,1,1,yes,yes,skilled employee
< 0 DM,39,furniture,14179,unknown,4 - 7 yrs,4,single male,none,4,building society savings,30,none,own,2,1,1,yes,yes,mangement self-employed
< 0 DM,13,business,1797,< 100 DM,0 - 1 yrs,3,single male,none,1,building society savings,28,bank,own,2,1,1,none,yes,unskilled resident
< 0 DM,15,car (new),2511,< 100 DM,unemployed,1,female,none,4,other,23,none,rent,1,1,1,none,yes,skilled employee
< 0 DM,12,car (new),1274,< 100 DM,0 - 1 yrs,3,female,none,1,real estate,37,none,own,1,2,1,none,yes,unskilled resident
unknown,21,car (used),5248,unknown,1 - 4 yrs,1,single male,none,3,other,26,none,own,1,1,1,none,yes,skilled employee
unknown,15,car (used),3029,< 100 DM,4 - 7 yrs,2,single male,none,2,other,33,none,own,1,1,1,none,yes,skilled employee
< 0 DM,6,furniture,428,< 100 DM,> 7 yrs,2,female,none,1,building society savings,49,bank,own,1,1,1,yes,yes,skilled employee
< 0 DM,18,car (new),976,< 100 DM,0 - 1 yrs,1,female,none,2,other,23,none,own,1,2,1,none,yes,unskilled resident
1 - 200 DM,12,business,841,101 - 500 DM,4 - 7 yrs,2,female,none,4,real estate,23,none,rent,1,1,1,none,yes,unskilled resident
unknown,30,radio/tv,5771,< 100 DM,4 - 7 yrs,4,female,none,2,other,25,none,own,2,1,1,none,yes,skilled employee
unknown,12,repairs,1555,> 1000 DM,> 7 yrs,4,single male,none,4,unknown/none,55,none,for free,2,2,2,none,yes,skilled employee
< 0 DM,24,car (new),1285,unknown,4 - 7 yrs,4,female,none,4,unknown/none,32,none,rent,1,2,1,none,yes,skilled employee
> 200 DM,6,car (new),1299,< 100 DM,1 - 4 yrs,1,single male,none,1,real estate,74,none,own,3,1,2,none,no,unemployed non-resident
> 200 DM,15,radio/tv,1271,unknown,1 - 4 yrs,3,single male,none,4,unknown/none,39,none,for free,2,2,1,yes,yes,skilled employee
unknown,24,car (new),1393,< 100 DM,1 - 4 yrs,2,single male,guarantor,2,real estate,31,none,own,1,1,1,yes,yes,skilled employee
< 0 DM,12,car (new),691,< 100 DM,> 7 yrs,4,single male,none,3,building society savings,35,none,own,2,2,1,none,yes,skilled employee
unknown,15,car (new),5045,unknown,> 7 yrs,1,female,none,4,other,59,none,own,1,1,1,yes,yes,skilled employee
< 0 DM,18,furniture,2124,< 100 DM,1 - 4 yrs,4,female,none,4,real estate,24,none,rent,2,2,1,none,yes,skilled employee
< 0 DM,12,radio/tv,2214,< 100 DM,1 - 4 yrs,4,single male,none,3,building society savings,24,none,own,1,1,1,none,yes,unskilled resident
unknown,21,car (new),12680,unknown,> 7 yrs,4,single male,none,4,unknown/none,30,none,for free,1,2,1,yes,yes,mangement self-employed
unknown,24,car (new),2463,101 - 500 DM,4 - 7 yrs,4,married male,none,3,building society savings,27,none,own,2,1,1,yes,yes,skilled employee
1 - 200 DM,12,radio/tv,1155,< 100 DM,> 7 yrs,3,married male,guarantor,3,real estate,40,bank,own,2,1,1,none,yes,unskilled resident
< 0 DM,30,furniture,3108,< 100 DM,0 - 1 yrs,2,divorced male,none,4,building society savings,31,none,own,1,2,1,none,yes,unskilled resident
unknown,10,car (used),2901,unknown,0 - 1 yrs,1,female,none,4,real estate,31,none,rent,1,1,1,none,yes,skilled employee
1 - 200 DM,12,furniture,3617,< 100 DM,> 7 yrs,1,single male,none,4,other,28,none,rent,3,1,1,yes,yes,skilled employee
unknown,12,radio/tv,1655,< 100 DM,> 7 yrs,2,single male,none,4,real estate,63,none,own,2,1,1,yes,yes,unskilled resident
< 0 DM,24,car (used),2812,unknown,> 7 yrs,2,female,none,4,real estate,26,none,rent,1,1,1,none,yes,skilled employee
< 0 DM,36,education,8065,< 100 DM,1 - 4 yrs,3,female,none,2,unknown/none,25,none,own,2,2,1,yes,yes,mangement self-employed
unknown,21,car (used),3275,< 100 DM,> 7 yrs,1,single male,none,4,other,36,none,own,1,1,1,yes,yes,mangement self-employed
unknown,24,radio/tv,2223,101 - 500 DM,> 7 yrs,4,single male,none,4,building society savings,52,bank,own,2,1,1,none,yes,skilled employee
> 200 DM,12,car (new),1480,501 - 1000 DM,unemployed,2,single male,none,4,unknown/none,66,bank,for free,3,1,1,none,yes,unemployed non-resident
< 0 DM,24,car (new),1371,unknown,1 - 4 yrs,4,female,none,4,real estate,25,none,rent,1,2,1,none,yes,skilled employee
unknown,36,car (new),3535,< 100 DM,4 - 7 yrs,4,single male,none,4,other,37,none,own,2,1,1,yes,yes,skilled employee
< 0 DM,18,radio/tv,3509,< 100 DM,4 - 7 yrs,4,female,guarantor,1,real estate,25,none,own,1,1,1,none,yes,skilled employee
unknown,36,car (used),5711,> 1000 DM,> 7 yrs,4,single male,none,2,other,38,none,own,2,1,1,yes,yes,mangement self-employed
1 - 200 DM,18,repairs,3872,< 100 DM,unemployed,2,female,none,4,other,67,none,own,1,1,1,yes,yes,skilled employee
1 - 200 DM,39,radio/tv,4933,< 100 DM,4 - 7 yrs,2,single male,guarantor,2,real estate,25,none,own,2,2,1,none,yes,skilled employee
unknown,24,car (new),1940,> 1000 DM,> 7 yrs,4,single male,none,4,real estate,60,none,own,1,1,1,yes,yes,skilled employee
1 - 200 DM,12,retraining,1410,< 100 DM,1 - 4 yrs,2,single male,none,2,real estate,31,none,own,1,1,1,yes,yes,unskilled resident
1 - 200 DM,12,car (new),836,101 - 500 DM,0 - 1 yrs,4,female,none,2,building society savings,23,bank,own,1,2,1,none,yes,unskilled resident
1 - 200 DM,20,car (used),6468,unknown,unemployed,1,divorced male,none,4,real estate,60,none,own,1,1,1,yes,yes,mangement self-employed
1 - 200 DM,18,business,1941,> 1000 DM,1 - 4 yrs,4,single male,none,2,building society savings,35,none,own,1,1,1,yes,yes,unskilled resident
unknown,22,radio/tv,2675,501 - 1000 DM,> 7 yrs,3,single male,none,4,other,40,none,own,1,1,1,none,yes,skilled employee
unknown,48,car (used),2751,unknown,> 7 yrs,4,single male,none,3,other,38,none,own,2,1,2,yes,yes,skilled employee
1 - 200 DM,48,education,6224,< 100 DM,> 7 yrs,4,single male,none,4,unknown/none,50,none,for free,1,2,1,none,yes,skilled employee
< 0 DM,40,education,5998,< 100 DM,1 - 4 yrs,4,single male,none,3,unknown/none,27,bank,own,1,2,1,yes,yes,skilled employee
1 - 200 DM,21,business,1188,< 100 DM,> 7 yrs,2,female,none,4,building society savings,39,none,own,1,2,2,none,yes,skilled employee
unknown,24,car (used),6313,unknown,> 7 yrs,3,single male,none,4,other,41,none,own,1,1,2,yes,yes,mangement self-employed
unknown,6,furniture,1221,unknown,1 - 4 yrs,1,married male,none,2,building society savings,27,none,own,2,1,1,none,yes,skilled employee
> 200 DM,24,furniture,2892,< 100 DM,> 7 yrs,3,divorced male,none,4,unknown/none,51,none,for free,1,1,1,none,yes,skilled employee
unknown,24,furniture,3062,501 - 1000 DM,> 7 yrs,4,single male,none,3,unknown/none,32,none,rent,1,1,1,yes,yes,skilled employee
unknown,9,furniture,2301,101 - 500 DM,0 - 1 yrs,2,female,none,4,building society savings,22,none,rent,1,1,1,none,yes,skilled employee
< 0 DM,18,car (used),7511,unknown,> 7 yrs,1,single male,none,4,building society savings,51,none,for free,1,2,2,yes,yes,skilled employee
unknown,12,furniture,1258,< 100 DM,0 - 1 yrs,2,female,none,4,building society savings,22,none,rent,2,1,1,none,yes,unskilled resident
unknown,24,car (new),717,unknown,> 7 yrs,4,married male,none,4,other,54,none,own,2,1,1,yes,yes,skilled employee
1 - 200 DM,9,car (new),1549,unknown,0 - 1 yrs,4,single male,none,2,real estate,35,none,own,1,1,1,none,yes,unemployed non-resident
unknown,24,education,1597,< 100 DM,> 7 yrs,4,single male,none,4,unknown/none,54,none,for free,2,1,2,none,yes,skilled employee
1 - 200 DM,18,radio/tv,1795,< 100 DM,> 7 yrs,3,female,guarantor,4,real estate,48,bank,rent,2,1,1,yes,yes,unskilled resident
< 0 DM,20,furniture,4272,< 100 DM,> 7 yrs,1,female,none,4,building society savings,24,none,own,2,1,1,none,yes,skilled employee
unknown,12,radio/tv,976,unknown,> 7 yrs,4,single male,none,4,other,35,none,own,2,1,1,none,yes,skilled employee
1 - 200 DM,12,car (new),7472,unknown,unemployed,1,female,none,2,real estate,24,none,rent,1,1,1,none,yes,unemployed non-resident
< 0 DM,36,car (new),9271,< 100 DM,4 - 7 yrs,2,single male,none,1,other,24,none,own,1,2,1,yes,yes,skilled employee
1 - 200 DM,6,radio/tv,590,< 100 DM,0 - 1 yrs,3,married male,none,3,real estate,26,none,own,1,1,1,none,no,unskilled resident
unknown,12,radio/tv,930,unknown,> 7 yrs,4,single male,none,4,real estate,65,none,own,4,1,1,none,yes,skilled employee
1 - 200 DM,42,car (used),9283,< 100 DM,unemployed,1,single male,none,2,unknown/none,55,bank,for free,1,1,1,yes,yes,mangement self-employed
1 - 200 DM,15,car (new),1778,< 100 DM,0 - 1 yrs,2,female,none,1,real estate,26,none,rent,2,2,1,none,yes,unemployed non-resident
1 - 200 DM,8,business,907,< 100 DM,0 - 1 yrs,3,married male,none,2,real estate,26,none,own,1,1,1,yes,yes,skilled employee
1 - 200 DM,6,radio/tv,484,< 100 DM,4 - 7 yrs,3,married male,guarantor,3,real estate,28,bank,own,1,1,1,none,yes,unskilled resident
< 0 DM,36,car (used),9629,< 100 DM,4 - 7 yrs,4,single male,none,4,other,24,none,own,2,2,1,yes,yes,skilled employee
< 0 DM,48,domestic appliances,3051,< 100 DM,1 - 4 yrs,3,single male,none,4,other,54,none,own,1,2,1,none,yes,skilled employee
< 0 DM,48,car (new),3931,< 100 DM,4 - 7 yrs,4,single male,none,4,unknown/none,46,none,for free,1,2,2,none,yes,skilled employee
1 - 200 DM,36,car (new),7432,< 100 DM,1 - 4 yrs,2,female,none,2,building society savings,54,none,rent,1,1,1,none,yes,skilled employee
unknown,6,domestic appliances,1338,501 - 1000 DM,1 - 4 yrs,1,divorced male,none,4,real estate,62,none,own,1,1,1,none,yes,skilled employee
unknown,6,radio/tv,1554,< 100 DM,4 - 7 yrs,1,female,none,2,other,24,none,rent,2,1,1,yes,yes,skilled employee
< 0 DM,36,others,15857,< 100 DM,unemployed,2,divorced male,co-applicant,3,other,43,none,own,1,1,1,none,yes,mangement self-employed
< 0 DM,18,radio/tv,1345,< 100 DM,1 - 4 yrs,4,married male,none,3,real estate,26,bank,own,1,2,1,none,yes,skilled employee
unknown,12,car (new),1101,< 100 DM,1 - 4 yrs,3,married male,none,2,real estate,27,none,own,2,1,1,yes,yes,skilled employee
> 200 DM,12,radio/tv,3016,< 100 DM,1 - 4 yrs,3,married male,none,1,other,24,none,own,1,1,1,none,yes,skilled employee
< 0 DM,36,furniture,2712,< 100 DM,> 7 yrs,2,single male,none,2,building society savings,41,bank,own,1,2,2,none,yes,skilled employee
< 0 DM,8,car (new),731,< 100 DM,> 7 yrs,4,single male,none,4,real estate,47,none,own,2,1,1,none,yes,unskilled resident
unknown,18,furniture,3780,< 100 DM,0 - 1 yrs,3,divorced male,none,2,other,35,none,own,2,1,1,yes,yes,mangement self-employed
< 0 DM,21,car (new),1602,< 100 DM,> 7 yrs,4,married male,none,3,other,30,none,own,2,1,1,yes,yes,skilled employee
< 0 DM,18,car (new),3966,< 100 DM,> 7 yrs,1,female,none,4,real estate,33,bank,rent,3,2,1,yes,yes,skilled employee
unknown,18,business,4165,< 100 DM,1 - 4 yrs,2,single male,none,2,other,36,stores,own,2,2,2,none,yes,skilled employee
< 0 DM,36,car (used),8335,unknown,> 7 yrs,3,single male,none,4,unknown/none,47,none,for free,1,2,1,none,yes,skilled employee
1 - 200 DM,48,business,6681,unknown,1 - 4 yrs,4,single male,none,4,unknown/none,38,none,for free,1,1,2,yes,yes,skilled employee
unknown,24,business,2375,501 - 1000 DM,1 - 4 yrs,4,single male,none,2,other,44,none,own,2,1,2,yes,yes,skilled employee
< 0 DM,18,car (new),1216,< 100 DM,0 - 1 yrs,4,female,none,3,other,23,none,rent,1,2,1,yes,yes,skilled employee
< 0 DM,45,business,11816,< 100 DM,> 7 yrs,2,single male,none,4,other,29,none,rent,2,2,1,none,yes,skilled employee
1 - 200 DM,24,radio/tv,5084,unknown,> 7 yrs,2,female,none,4,other,42,none,own,1,1,1,yes,yes,skilled employee
> 200 DM,15,radio/tv,2327,< 100 DM,0 - 1 yrs,2,female,none,3,real estate,25,none,own,1,2,1,none,yes,unskilled resident
< 0 DM,12,car (new),1082,< 100 DM,1 - 4 yrs,4,single male,none,4,other,48,bank,own,2,2,1,none,yes,skilled employee
unknown,12,radio/tv,886,unknown,1 - 4 yrs,4,female,none,2,other,21,none,own,1,1,1,none,yes,skilled employee
unknown,4,furniture,601,< 100 DM,0 - 1 yrs,1,female,none,3,real estate,23,none,rent,1,1,2,none,yes,unskilled resident
< 0 DM,24,car (used),2957,< 100 DM,> 7 yrs,4,single male,none,4,building society savings,63,none,own,2,1,1,yes,yes,skilled employee
unknown,24,radio/tv,2611,< 100 DM,> 7 yrs,4,married male,co-applicant,3,real estate,46,none,own,2,1,1,none,yes,skilled employee
< 0 DM,36,furniture,5179,< 100 DM,4 - 7 yrs,4,single male,none,2,building society savings,29,none,own,1,2,1,none,yes,skilled employee
unknown,21,car (used),2993,< 100 DM,1 - 4 yrs,3,single male,none,2,real estate,28,stores,own,2,1,1,none,yes,unskilled resident
unknown,18,repairs,1943,< 100 DM,0 - 1 yrs,4,female,none,4,real estate,23,none,own,1,2,1,none,yes,skilled employee
unknown,24,business,1559,< 100 DM,4 - 7 yrs,4,single male,none,4,other,50,bank,own,1,1,1,yes,yes,skilled employee
unknown,18,furniture,3422,< 100 DM,> 7 yrs,4,single male,none,4,building society savings,47,bank,own,3,1,2,yes,yes,skilled employee
1 - 200 DM,21,furniture,3976,unknown,4 - 7 yrs,2,single male,none,3,other,35,none,own,1,1,1,yes,yes,skilled employee
unknown,18,car (new),6761,unknown,1 - 4 yrs,2,single male,none,4,other,68,none,rent,2,2,1,none,yes,skilled employee
unknown,24,car (new),1249,< 100 DM,0 - 1 yrs,4,married male,none,2,real estate,28,none,own,1,1,1,none,yes,skilled employee
< 0 DM,9,radio/tv,1364,< 100 DM,4 - 7 yrs,3,single male,none,4,real estate,59,none,own,1,1,1,none,yes,skilled employee
< 0 DM,12,radio/tv,709,< 100 DM,> 7 yrs,4,single male,none,4,real estate,57,stores,own,1,2,1,none,yes,unskilled resident
< 0 DM,20,car (new),2235,< 100 DM,1 - 4 yrs,4,married male,guarantor,2,building society savings,33,bank,rent,2,2,1,none,no,skilled employee
unknown,24,car (used),4042,unknown,4 - 7 yrs,3,single male,none,4,building society savings,43,none,own,2,1,1,yes,yes,skilled employee
unknown,15,radio/tv,1471,< 100 DM,1 - 4 yrs,4,single male,none,4,unknown/none,35,none,for free,2,1,1,yes,yes,skilled employee
< 0 DM,18,car (new),1442,< 100 DM,4 - 7 yrs,4,single male,none,4,unknown/none,32,none,for free,2,2,2,none,yes,unskilled resident
unknown,36,car (new),10875,< 100 DM,> 7 yrs,2,single male,none,2,other,45,none,own,2,1,2,yes,yes,skilled employee
unknown,24,car (new),1474,101 - 500 DM,0 - 1 yrs,4,married male,none,3,real estate,33,none,own,1,1,1,yes,yes,skilled employee
unknown,10,retraining,894,unknown,4 - 7 yrs,4,female,none,3,building society savings,40,none,own,1,1,1,yes,yes,skilled employee
unknown,15,furniture,3343,< 100 DM,1 - 4 yrs,4,single male,none,2,unknown/none,28,none,for free,1,1,1,yes,yes,skilled employee
< 0 DM,15,car (new),3959,< 100 DM,1 - 4 yrs,3,female,none,2,building society savings,29,none,own,1,2,1,yes,yes,skilled employee
unknown,9,car (new),3577,101 - 500 DM,1 - 4 yrs,1,single male,guarantor,2,real estate,26,none,rent,1,1,2,none,no,skilled employee
unknown,24,car (used),5804,> 1000 DM,1 - 4 yrs,4,single male,none,2,real estate,27,none,own,2,1,1,none,yes,skilled employee
unknown,18,business,2169,< 100 DM,1 - 4 yrs,4,married male,none,2,other,28,none,own,1,2,1,yes,yes,skilled employee
< 0 DM,24,radio/tv,2439,< 100 DM,0 - 1 yrs,4,female,none,4,real estate,35,none,own,1,2,1,yes,yes,skilled employee
unknown,27,furniture,4526,> 1000 DM,0 - 1 yrs,4,single male,none,2,real estate,32,stores,own,2,1,2,yes,yes,unskilled resident
unknown,10,furniture,2210,< 100 DM,1 - 4 yrs,2,single male,none,2,real estate,25,bank,rent,1,2,1,none,yes,unskilled resident
unknown,15,furniture,2221,501 - 1000 DM,1 - 4 yrs,2,female,none,4,other,20,none,rent,1,1,1,none,yes,skilled employee
< 0 DM,18,radio/tv,2389,< 100 DM,0 - 1 yrs,4,female,none,1,other,27,stores,own,1,1,1,none,yes,skilled employee
unknown,12,furniture,3331,< 100 DM,> 7 yrs,2,single male,none,4,building society savings,42,stores,own,1,1,1,none,yes,skilled employee
unknown,36,business,7409,unknown,> 7 yrs,3,single male,none,2,building society savings,37,none,own,2,1,1,none,yes,skilled employee
< 0 DM,12,furniture,652,< 100 DM,> 7 yrs,4,female,none,4,building society savings,24,none,rent,1,1,1,none,yes,skilled employee
unknown,36,furniture,7678,501 - 1000 DM,4 - 7 yrs,2,female,none,4,other,40,none,own,2,1,1,yes,yes,skilled employee
> 200 DM,6,car (new),1343,< 100 DM,> 7 yrs,1,single male,none,4,real estate,46,none,own,2,1,2,none,no,skilled employee
< 0 DM,24,business,1382,101 - 500 DM,4 - 7 yrs,4,single male,none,1,real estate,26,none,own,2,1,1,yes,yes,skilled employee
unknown,15,domestic appliances,874,unknown,0 - 1 yrs,4,female,none,1,real estate,24,none,own,1,1,1,none,yes,skilled employee
< 0 DM,12,furniture,3590,< 100 DM,1 - 4 yrs,2,single male,co-applicant,2,building society savings,29,none,own,1,1,2,none,yes,unskilled resident
1 - 200 DM,11,car (new),1322,> 1000 DM,1 - 4 yrs,4,female,none,4,other,40,none,own,2,1,1,none,yes,skilled employee
< 0 DM,18,radio/tv,1940,< 100 DM,0 - 1 yrs,3,single male,co-applicant,4,unknown/none,36,bank,for free,1,1,1,yes,yes,mangement self-employed
unknown,36,radio/tv,3595,< 100 DM,> 7 yrs,4,single male,none,2,other,28,none,own,1,1,1,none,yes,skilled employee
< 0 DM,9,car (new),1422,< 100 DM,0 - 1 yrs,3,single male,none,2,unknown/none,27,none,for free,1,2,1,yes,yes,mangement self-employed
unknown,30,radio/tv,6742,unknown,4 - 7 yrs,2,single male,none,3,building society savings,36,none,own,2,1,1,none,yes,skilled employee
unknown,24,car (used),7814,< 100 DM,4 - 7 yrs,3,single male,none,3,other,38,none,own,1,1,1,yes,yes,mangement self-employed
unknown,24,car (used),9277,unknown,1 - 4 yrs,2,divorced male,none,4,unknown/none,48,none,for free,1,1,1,yes,yes,skilled employee
1 - 200 DM,30,car (new),2181,unknown,> 7 yrs,4,single male,none,4,real estate,36,none,own,2,1,1,none,yes,skilled employee
unknown,18,radio/tv,1098,< 100 DM,unemployed,4,female,none,4,other,65,none,own,2,1,1,none,yes,unemployed non-resident
1 - 200 DM,24,furniture,4057,< 100 DM,4 - 7 yrs,3,divorced male,none,3,other,43,none,own,1,2,1,yes,yes,skilled employee
< 0 DM,12,education,795,< 100 DM,0 - 1 yrs,4,female,none,4,building society savings,53,none,own,1,2,1,none,yes,skilled employee
1 - 200 DM,24,business,2825,unknown,4 - 7 yrs,4,single male,none,3,unknown/none,34,none,own,2,1,2,yes,yes,skilled employee
1 - 200 DM,48,business,15672,< 100 DM,1 - 4 yrs,2,single male,none,2,other,23,none,own,1,2,1,yes,yes,skilled employee
unknown,36,car (new),6614,< 100 DM,> 7 yrs,4,single male,none,4,other,34,none,own,2,1,1,yes,yes,mangement self-employed
unknown,28,car (used),7824,unknown,0 - 1 yrs,3,single male,guarantor,4,real estate,40,bank,rent,2,1,2,yes,yes,skilled employee
< 0 DM,27,business,2442,< 100 DM,> 7 yrs,4,single male,none,4,other,43,stores,own,4,1,2,yes,yes,mangement self-employed
unknown,15,radio/tv,1829,< 100 DM,> 7 yrs,4,single male,none,4,other,46,none,own,2,1,1,yes,yes,skilled employee
< 0 DM,12,car (new),2171,< 100 DM,1 - 4 yrs,4,single male,none,4,building society savings,38,bank,own,2,1,1,none,no,unskilled resident
1 - 200 DM,36,car (used),5800,< 100 DM,1 - 4 yrs,3,single male,none,4,other,34,none,own,2,1,1,yes,yes,skilled employee
unknown,18,radio/tv,1169,unknown,1 - 4 yrs,4,single male,none,3,building society savings,29,none,own,2,1,1,yes,yes,skilled employee
unknown,36,car (used),8947,unknown,4 - 7 yrs,3,single male,none,2,other,31,stores,own,1,1,2,yes,yes,mangement self-employed
< 0 DM,21,radio/tv,2606,< 100 DM,0 - 1 yrs,4,female,none,4,building society savings,28,none,rent,1,1,1,yes,yes,mangement self-employed
unknown,12,furniture,1592,> 1000 DM,4 - 7 yrs,3,female,none,2,building society savings,35,none,own,1,1,1,none,no,skilled employee
unknown,15,furniture,2186,unknown,4 - 7 yrs,1,female,none,4,real estate,33,bank,rent,1,1,1,none,yes,unskilled resident
< 0 DM,18,furniture,4153,< 100 DM,1 - 4 yrs,2,single male,co-applicant,3,other,42,none,own,1,2,1,none,yes,skilled employee
< 0 DM,16,car (new),2625,< 100 DM,> 7 yrs,2,single male,guarantor,4,building society savings,43,bank,rent,1,2,1,yes,yes,skilled employee
